,Series_Title,Released_Year,Certificate,Genre,All_Stars,runtime_in_minutes,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross
5,The Lord of the Rings: The Return of the King,2003,U,Adventure,Orlando Bloom,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Drama,Elijah Wood,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Drama,Viggo Mortensen,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Drama,Ian McKellen,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
5,The Lord of the Rings: The Return of the King,2003,U,Drama,Orlando Bloom,201,8.9,94.0,Peter Jackson,1642758,"377,845,905"
6,Pulp Fiction,1994,A,Crime,John Travolta,154,8.9,94.0,Quentin Tarantino,1826188,"107,928,762"
6,Pulp Fiction,1994,A,Crime,Uma Thurman,154,8.9,94.0,Quentin Tarantino,1826188,"107,928,762"
6,Pulp Fiction,1994,A,Crime,Samuel L. Jackson,154,8.9,94.0,Quentin Tarantino,1826188,"107,928,762"
6,Pulp Fiction,1994,A,Crime,Bruce Willis,154,8.9,94.0,Quentin Tarantino,1826188,"107,928,762"
6,Pulp Fiction,1994,A,Drama,John Travolta,154,8.9,94.0,Quentin Tarantino,1826188,"107,928,762"
6,Pulp Fiction,1994,A,Drama,Uma Thurman,154,8.9,94.0,Quentin Tarantino,1826188,"107,928,762"
6,Pulp Fiction,1994,A,Drama,Samuel L. Jackson,154,8.9,94.0,Quentin Tarantino,1826188,"107,928,762"
6,Pulp Fiction,1994,A,Drama,Bruce Willis,154,8.9,94.0,Quentin Tarantino,1826188,"107,928,762"
7,Schindler's List,1993,A,Biography,Liam Neeson,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,Biography,Ralph Fiennes,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,Biography,Ben Kingsley,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,Biography,Caroline Goodall,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,Drama,Liam Neeson,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,Drama,Ralph Fiennes,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,Drama,Ben Kingsley,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,Drama,Caroline Goodall,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,History,Liam Neeson,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,History,Ralph Fiennes,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,History,Ben Kingsley,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
7,Schindler's List,1993,A,History,Caroline Goodall,195,8.9,94.0,Steven Spielberg,1213505,"96,898,818"
8,Inception,2010,UA,Action,Leonardo DiCaprio,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Action,Joseph Gordon-Levitt,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Action,Elliot Page,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Action,Ken Watanabe,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Adventure,Leonardo DiCaprio,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Adventure,Joseph Gordon-Levitt,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Adventure,Elliot Page,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Adventure,Ken Watanabe,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Sci-Fi,Leonardo DiCaprio,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Sci-Fi,Joseph Gordon-Levitt,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Sci-Fi,Elliot Page,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
8,Inception,2010,UA,Sci-Fi,Ken Watanabe,148,8.8,74.0,Christopher Nolan,2067042,"292,576,195"
9,Fight Club,1999,A,Drama,Brad Pitt,139,8.8,66.0,David Fincher,1854740,"37,030,102"
9,Fight Club,1999,A,Drama,Edward Norton,139,8.8,66.0,David Fincher,1854740,"37,030,102"
9,Fight Club,1999,A,Drama,Meat Loaf,139,8.8,66.0,David Fincher,1854740,"37,030,102"
9,Fight Club,1999,A,Drama,Zach Grenier,139,8.8,66.0,David Fincher,1854740,"37,030,102"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Action,Elijah Wood,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Action,Ian McKellen,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Action,Orlando Bloom,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Action,Sean Bean,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Adventure,Elijah Wood,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Adventure,Ian McKellen,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Adventure,Orlando Bloom,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Adventure,Sean Bean,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Drama,Elijah Wood,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Drama,Ian McKellen,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Drama,Orlando Bloom,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,Drama,Sean Bean,178,8.8,92.0,Peter Jackson,1661481,"315,544,750"
11,Forrest Gump,1994,UA,Drama,Tom Hanks,142,8.8,82.0,Robert Zemeckis,1809221,"330,252,182"
11,Forrest Gump,1994,UA,Drama,Robin Wright,142,8.8,82.0,Robert Zemeckis,1809221,"330,252,182"
11,Forrest Gump,1994,UA,Drama,Gary Sinise,142,8.8,82.0,Robert Zemeckis,1809221,"330,252,182"
11,Forrest Gump,1994,UA,Drama,Sally Field,142,8.8,82.0,Robert Zemeckis,1809221,"330,252,182"
11,Forrest Gump,1994,UA,Romance,Tom Hanks,142,8.8,82.0,Robert Zemeckis,1809221,"330,252,182"
11,Forrest Gump,1994,UA,Romance,Robin Wright,142,8.8,82.0,Robert Zemeckis,1809221,"330,252,182"
11,Forrest Gump,1994,UA,Romance,Gary Sinise,142,8.8,82.0,Robert Zemeckis,1809221,"330,252,182"
11,Forrest Gump,1994,UA,Romance,Sally Field,142,8.8,82.0,Robert Zemeckis,1809221,"330,252,182"
12,"Il buono, il brutto, il cattivo",1966,A,Western,Clint Eastwood,161,8.8,90.0,Sergio Leone,688390,"6,100,000"
12,"Il buono, il brutto, il cattivo",1966,A,Western,Eli Wallach,161,8.8,90.0,Sergio Leone,688390,"6,100,000"
12,"Il buono, il brutto, il cattivo",1966,A,Western,Lee Van Cleef,161,8.8,90.0,Sergio Leone,688390,"6,100,000"
12,"Il buono, il brutto, il cattivo",1966,A,Western,Aldo Giuffrè,161,8.8,90.0,Sergio Leone,688390,"6,100,000"
13,The Lord of the Rings: The Two Towers,2002,UA,Action,Elijah Wood,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Action,Ian McKellen,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Action,Viggo Mortensen,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Action,Orlando Bloom,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Adventure,Elijah Wood,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Adventure,Ian McKellen,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Adventure,Viggo Mortensen,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Adventure,Orlando Bloom,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Drama,Elijah Wood,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Drama,Ian McKellen,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Drama,Viggo Mortensen,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
13,The Lord of the Rings: The Two Towers,2002,UA,Drama,Orlando Bloom,179,8.7,87.0,Peter Jackson,1485555,"342,551,365"
14,The Matrix,1999,A,Action,Lilly Wachowski,136,8.7,73.0,Lana Wachowski,1676426,"171,479,930"
14,The Matrix,1999,A,Action,Keanu Reeves,136,8.7,73.0,Lana Wachowski,1676426,"171,479,930"
14,The Matrix,1999,A,Action,Laurence Fishburne,136,8.7,73.0,Lana Wachowski,1676426,"171,479,930"
14,The Matrix,1999,A,Action,Carrie-Anne Moss,136,8.7,73.0,Lana Wachowski,1676426,"171,479,930"
14,The Matrix,1999,A,Sci-Fi,Lilly Wachowski,136,8.7,73.0,Lana Wachowski,1676426,"171,479,930"
14,The Matrix,1999,A,Sci-Fi,Keanu Reeves,136,8.7,73.0,Lana Wachowski,1676426,"171,479,930"
14,The Matrix,1999,A,Sci-Fi,Laurence Fishburne,136,8.7,73.0,Lana Wachowski,1676426,"171,479,930"
14,The Matrix,1999,A,Sci-Fi,Carrie-Anne Moss,136,8.7,73.0,Lana Wachowski,1676426,"171,479,930"
15,Goodfellas,1990,A,Biography,Robert De Niro,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Biography,Ray Liotta,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Biography,Joe Pesci,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Biography,Lorraine Bracco,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Crime,Robert De Niro,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Crime,Ray Liotta,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Crime,Joe Pesci,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Crime,Lorraine Bracco,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Drama,Robert De Niro,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Drama,Ray Liotta,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Drama,Joe Pesci,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
15,Goodfellas,1990,A,Drama,Lorraine Bracco,146,8.7,90.0,Martin Scorsese,1020727,"46,836,394"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Action,Mark Hamill,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Action,Harrison Ford,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Action,Carrie Fisher,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Action,Billy Dee Williams,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Adventure,Mark Hamill,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Adventure,Harrison Ford,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Adventure,Carrie Fisher,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Adventure,Billy Dee Williams,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Fantasy,Mark Hamill,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Fantasy,Harrison Ford,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Fantasy,Carrie Fisher,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,Fantasy,Billy Dee Williams,124,8.7,82.0,Irvin Kershner,1159315,"290,475,067"
17,One Flew Over the Cuckoo's Nest,1975,A,Drama,Jack Nicholson,133,8.7,83.0,Milos Forman,918088,"112,000,000"
17,One Flew Over the Cuckoo's Nest,1975,A,Drama,Louise Fletcher,133,8.7,83.0,Milos Forman,918088,"112,000,000"
17,One Flew Over the Cuckoo's Nest,1975,A,Drama,Michael Berryman,133,8.7,83.0,Milos Forman,918088,"112,000,000"
17,One Flew Over the Cuckoo's Nest,1975,A,Drama,Peter Brocco,133,8.7,83.0,Milos Forman,918088,"112,000,000"
18,Hamilton,2020,PG-13,Biography,Lin-Manuel Miranda,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,Biography,Phillipa Soo,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,Biography,Leslie Odom Jr.,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,Biography,Renée Elise Goldsberry,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,Drama,Lin-Manuel Miranda,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,Drama,Phillipa Soo,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,Drama,Leslie Odom Jr.,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,Drama,Renée Elise Goldsberry,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,History,Lin-Manuel Miranda,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,History,Phillipa Soo,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,History,Leslie Odom Jr.,160,8.6,90.0,Thomas Kail,55291,
18,Hamilton,2020,PG-13,History,Renée Elise Goldsberry,160,8.6,90.0,Thomas Kail,55291,
19,Gisaengchung,2019,A,Comedy,Kang-ho Song,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Comedy,Lee Sun-kyun,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Comedy,Cho Yeo-jeong,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Comedy,Choi Woo-sik,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Drama,Kang-ho Song,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Drama,Lee Sun-kyun,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Drama,Cho Yeo-jeong,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Drama,Choi Woo-sik,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Thriller,Kang-ho Song,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Thriller,Lee Sun-kyun,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Thriller,Cho Yeo-jeong,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
19,Gisaengchung,2019,A,Thriller,Choi Woo-sik,132,8.6,96.0,Bong Joon Ho,552778,"53,367,844"
20,Soorarai Pottru,2020,U,Drama,Suriya,153,8.6,,Sudha Kongara,54995,
20,Soorarai Pottru,2020,U,Drama,Madhavan,153,8.6,,Sudha Kongara,54995,
20,Soorarai Pottru,2020,U,Drama,Paresh Rawal,153,8.6,,Sudha Kongara,54995,
20,Soorarai Pottru,2020,U,Drama,Aparna Balamurali,153,8.6,,Sudha Kongara,54995,
21,Interstellar,2014,UA,Adventure,Matthew McConaughey,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Adventure,Anne Hathaway,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Adventure,Jessica Chastain,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Adventure,Mackenzie Foy,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Drama,Matthew McConaughey,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Drama,Anne Hathaway,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Drama,Jessica Chastain,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Drama,Mackenzie Foy,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Sci-Fi,Matthew McConaughey,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Sci-Fi,Anne Hathaway,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Sci-Fi,Jessica Chastain,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
21,Interstellar,2014,UA,Sci-Fi,Mackenzie Foy,169,8.6,74.0,Christopher Nolan,1512360,"188,020,017"
22,Cidade de Deus,2002,A,Crime,Kátia Lund,130,8.6,79.0,Fernando Meirelles,699256,"7,563,397"
22,Cidade de Deus,2002,A,Crime,Alexandre Rodrigues,130,8.6,79.0,Fernando Meirelles,699256,"7,563,397"
22,Cidade de Deus,2002,A,Crime,Leandro Firmino,130,8.6,79.0,Fernando Meirelles,699256,"7,563,397"
22,Cidade de Deus,2002,A,Crime,Matheus Nachtergaele,130,8.6,79.0,Fernando Meirelles,699256,"7,563,397"
22,Cidade de Deus,2002,A,Drama,Kátia Lund,130,8.6,79.0,Fernando Meirelles,699256,"7,563,397"
22,Cidade de Deus,2002,A,Drama,Alexandre Rodrigues,130,8.6,79.0,Fernando Meirelles,699256,"7,563,397"
22,Cidade de Deus,2002,A,Drama,Leandro Firmino,130,8.6,79.0,Fernando Meirelles,699256,"7,563,397"
22,Cidade de Deus,2002,A,Drama,Matheus Nachtergaele,130,8.6,79.0,Fernando Meirelles,699256,"7,563,397"
23,Sen to Chihiro no kamikakushi,2001,U,Animation,Daveigh Chase,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Animation,Suzanne Pleshette,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Animation,Miyu Irino,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Animation,Rumi Hiiragi,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Adventure,Daveigh Chase,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Adventure,Suzanne Pleshette,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Adventure,Miyu Irino,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Adventure,Rumi Hiiragi,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Family,Daveigh Chase,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Family,Suzanne Pleshette,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Family,Miyu Irino,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
23,Sen to Chihiro no kamikakushi,2001,U,Family,Rumi Hiiragi,125,8.6,96.0,Hayao Miyazaki,651376,"10,055,859"
24,Saving Private Ryan,1998,R,Drama,Tom Hanks,169,8.6,91.0,Steven Spielberg,1235804,"216,540,909"
24,Saving Private Ryan,1998,R,Drama,Matt Damon,169,8.6,91.0,Steven Spielberg,1235804,"216,540,909"
24,Saving Private Ryan,1998,R,Drama,Tom Sizemore,169,8.6,91.0,Steven Spielberg,1235804,"216,540,909"
24,Saving Private Ryan,1998,R,Drama,Edward Burns,169,8.6,91.0,Steven Spielberg,1235804,"216,540,909"
